dateread,year,title,description,url
2016-11-16,2015,Continuous control with deep reinforcement learning,Second reading. <a href="extra/Deep-RL.pdf">Slides</a>.,https://arxiv.org/pdf/1509.02971v5.pdf
2016-11-16,2015,Human-level control through deep reinforcement learning,First Reading,https://storage.googleapis.com/deepmind-data/assets/papers/DeepMindNature14236Paper.pdf
2016-10-26,2016,WaveNet: A Generative Model for Raw Audio,"Modern" paper,https://arxiv.org/pdf/1609.03499v2.pdf
2016-10-26,2016,Pixel Recurrent Neural Networks,"Classic" paper,https://arxiv.org/pdf/1601.06759v3.pdf
2016-10-19,2015,Unsupervised Representation Learning with Deep Convolutional Generative Adversarial Networks,Modern paper <a href="http://goodfeli.github.io/slides/2016-10-3-CS294.pdf">Slides</a>,https://arxiv.org/pdf/1511.06434v2.pdf
2016-10-19,2014,Generative Adversarial Nets,Classic paper: GANs. <a href="http://goodfeli.github.io/slides/2014_nips_workshop_invited.pdf">Slides</a>,https://arxiv.org/pdf/1406.2661v1.pdf
2016-09-28,2015,Modern paper: Variational Inference with Normalizing Flows,Presented by Wesley <a href="extra/slides-deepvarinf.pdf">Slides</a>,http://arxiv.org/pdf/1505.05770v6.pdf
2016-09-28,2013,Auto-Encoding Variational Bayes,Classic paper: AE VB,http://arxiv.org/pdf/1312.6114v10.pdf
2016-09-14,2016,Layer Normalization,Modern paper: Layer Norm,https://arxiv.org/pdf/1607.06450v1.pdf
2016-09-14,2015,Batch Normalization: Accelerating Deep Network Training by Reducing Internal Covariate Shift,Classic paper: Batchnorm,https://arxiv.org/pdf/1502.03167v3.pdf
2016-05-12,2015,Deep Residual Learning for Image Recognition,Resnet,https://arxiv.org/pdf/1512.03385v1.pdf
2016-04-29,2016,Recurrent Batch Normalization,SR: Apply BN after *every* timestep  in  RNN. Works dramatically.,http://arxiv.org/pdf/1603.09025v4.pdf
2016-04-15,2016,Learning to Communicate to Solve Riddles with Deep Distributed Recurrent Q-Networks,SR: they present a deep-Q+LSTM which is able to solve some classic riddles. First combination of deep-Q reinforcement with an LSTM that I've seen,http://arxiv.org/pdf/1602.02672v1.pdf
2016-03-04,2015,Net2Net: Accelerating Learning via Knowledge Transfer,"Dinesh: On the lines of the ""Model Compression"" idea, but now trying to transfer information from a small easy-to-train network to accelerate the training of a larger network",http://arxiv.org/pdf/1511.05641v3.pdf
2016-02-19,2015,Ask Me Anything: Dynamic Memory Networks for Natural Language Processing,Eddie: General NN framework for explicitly representing input as a knowledge base that can be iterated over multiple times. Motivated by question-answering and transitive reasoning. General enough to be instantiated for many different tasks.,http://arxiv.org/abs/1506.07285
2016-02-05,2016,Mastering the game of Go with deep neural networks and tree search,SR: First AI to beat a professional go player,http://www.nature.com/nature/journal/v529/n7587/full/nature16961.html
2015-02-27,2014,Teaching Deep Convolutional Neural Networks to Play Go,Matthew: Cool looking paper outlining a neural network approach to a game has been dominated by UCT planning. ,http://arxiv.org/abs/1412.3409
2015-02-13,2014,Do Deep Nets Really Need to be Deep?,Karl: An extended abstract (4pp) providing empirical evidence that shallow nets can do as well as deep nets with the same number of parameters,http://arxiv.org/pdf/1312.6184v5.pdf
2014-12-05,2014,Neural Turing Machines,SR: Fresh off the press.,http://arxiv.org/abs/1410.5401
2014-11-14,2010,Why Does Unsupervised Pre-training Help Deep Learning?,"Craig: An in-depth discussion of the title question, with experiments that illuminate what is going on in an intuitive way. The short answer seems to be data-dependent regularization. ",http://jmlr.org/papers/volume11/erhan10a/erhan10a.pdf
2014-10-31,2012,Multimodal Deep Learning with Deep Boltzman Machine,"Aditya: Interesting to read how it combines sparse word frequencies from text with SIFT features from images. Since it builds generative models on text and image features, it can work even when data from one of input sources is missing.",http://www.cs.toronto.edu/~rsalakhu/papers/Multimodal_DBM.pdf
2014-10-17,2013,Visualizing and Understanding Convolutional Networks,Matthew: Presents a method for visualizing the different layers in convolutional networks. Analyzes and improves upon Krizevsky's Imagenet network. ,http://arxiv.org/abs/1311.2901
2014-10-03,2013,Maxout networks,"Leif: Apparently a maxout unit is a piecewise linear combination of its inputs, combining some of the benefits of rectified linear activations with dropouts (?)",http://arxiv.org/abs/1302.4389
2014-09-19,2013,Provably Efficient Algorithm for Training Deep Networks,Aditya: Proposes a principled way of learning deep polynomial features. It works well on small dataset like MNIST with minimal parameter tuning. I am evaluating this for larger datasets. ,http://arxiv.org/abs/1304.7045
2014-04-18,2013,Efficient Estimation of Word Representations in Vector Space,Aditya: Recent paper from Google folks (along with code) where they constructed high level vector representations of text. These features can help find semantic similarities in words. ,http://arxiv.org/abs/1301.3781
2014-04-04,2011,Generating text with recurrent neural networks,"Leif: This paper describes a recurrent network that was trained on character sequences from Wikipedia, and is capable of generating character sequences that have remarkably sophisticated structure. Also interesting because the model includes multiplicative interactions.",http://machinelearning.wustl.edu/mlpapers/paper_files/ICML2011Sutskever_524.pdf
2014-03-21,2011,Contractive Auto-Encoders: Explicit Invariance During Feature Extraction,"Craig: Proposes a new way of regularizing autoencoders: an analytical penalty on the Jacobian of the encoder activations wrt the input. This is motivated by and related to the denoising auto-encoder, which has had empirical success. ",http://machinelearning.wustl.edu/mlpapers/paper_files/ICML2011Rifai_455.pdf
2014-02-28,2011,Multiscale scattering for audio classification,"Leif: Developed by Stephane Mallat (creator of Matching Pursuit and a wavelet pioneer), this paper describes a ""deep"" wavelet transform that provides a nice representation for audio data classification. Particularly interesting is the use of features at all levels simultaneously.",http://www.mirlab.org/conference_papers/International_Conference/ISMIR%202011/papers/PS6-1.pdf
2014-02-14,2013,Playing Atari with Deep Reinforcement Learning,Leif: A deep model is used to map from pixels in atari games to some sort of Q-learning-like reward signal.,http://arxiv.org/abs/1312.5602
2013-12-06,2009,A Deep Non-Linear Feature Mapping for Large-Margin kNN Classification,Elad: Using deep models to enhance kNN,http://www.cs.toronto.edu/~cuty/icdm09.pdf
